week,year,average,median,low,high
20,2016,14.083333333333334,14.17,13.18,14.9
21,2016,12.4,12.47,10.98,13.61
22,2016,13.852857142857143,13.98,12.88,14.16
23,2016,14.525714285714285,14.52,13.91,15.58
24,2016,16.532857142857143,17.89,11.64,20.99
25,2016,13.661428571428573,13.89,11.81,14.55
26,2016,12.572857142857144,12.34,12.02,14.1
27,2016,10.889999999999999,11.01,10.08,11.48
28,2016,11.217142857142857,11.33,10.49,11.99
29,2016,12.884285714285713,12.76,11.05,14.83
30,2016,12.751428571428571,12.84,11.99,13.91
31,2016,10.70142857142857,10.99,8.78,11.32
32,2016,11.751428571428573,11.73,11.28,12.28
33,2016,11.049999999999999,11.18,10.77,11.3
34,2016,11.131428571428572,11.1,11.0,11.34
35,2016,11.672857142857142,11.77,10.95,12.15
36,2016,11.705714285714285,11.65,11.39,12.21
37,2016,12.237142857142857,11.96,11.86,12.79
38,2016,13.450000000000001,13.2,12.97,14.56
39,2016,13.155714285714286,13.22,12.84,13.32
40,2016,12.834285714285715,12.86,12.1,13.51
41,2016,11.879999999999999,11.92,11.77,11.95
42,2016,12.084285714285715,12.03,11.94,12.54
43,2016,11.287142857142857,11.33,10.47,11.92
44,2016,10.975714285714286,10.97,10.83,11.16
45,2016,10.468571428571428,10.51,9.95,10.93
46,2016,9.855714285714285,9.91,9.51,10.27
47,2016,9.442857142857141,9.4,8.98,9.87
48,2016,8.11857142857143,8.14,7.37,8.67
49,2016,7.9957142857142856,8.2,6.75,8.47
50,2016,8.084285714285715,7.92,7.83,8.5
51,2016,7.468571428571428,7.55,7.13,7.91
52,2016,7.783333333333334,7.890000000000001,7.16,8.29
52,2017,8.18,8.18,8.18,8.18
1,2017,9.99,10.14,8.38,11.17
2,2017,10.052857142857144,9.9,9.8,10.63
3,2017,10.424285714285714,10.42,9.66,10.93
4,2017,10.59142857142857,10.57,10.49,10.8
5,2017,10.928571428571429,10.82,10.6,11.41
6,2017,11.39,11.43,11.02,11.52
7,2017,12.711428571428572,12.89,11.43,13.14
8,2017,13.284285714285714,13.2,12.61,14.74
9,2017,18.06142857142857,18.65,15.66,19.68
10,2017,19.624285714285715,19.2,16.68,23.39
11,2017,37.201428571428565,35.65,28.64,45.96
12,2017,46.17000000000001,42.99,41.37,52.93
13,2017,50.55428571428571,50.3,48.74,53.1
14,2017,43.92714285714286,44.25,42.32,44.78
15,2017,46.895714285714284,47.2,43.83,49.77
16,2017,48.69,48.61,47.78,49.79
17,2017,63.132857142857155,63.67,50.12,80.87
18,2017,87.96428571428571,91.93,77.55,95.97
19,2017,87.92428571428572,88.36,85.17,89.39
20,2017,108.51571428571427,96.2,86.88,148.78
21,2017,172.40142857142857,169.95,159.91,196.06
22,2017,223.8642857142857,224.95,194.82,245.5
23,2017,284.1614285714286,264.22,248.0,343.01
24,2017,363.69571428571425,354.26,341.7,397.37
25,2017,323.58,325.41,278.49,358.71
26,2017,282.37857142857143,285.0,252.99,315.32
27,2017,257.79714285714283,266.01,238.81,276.37
28,2017,191.8714285714286,197.23,155.68,224.04
29,2017,216.32571428571427,226.06,190.87,230.69
30,2017,204.2114285714286,203.23,190.72,225.96
